srun: job 13589923 queued and waiting for resources
srun: job 13589923 has been allocated resources

===== KINETIC ENERGY TABLE =====
Step   CPU Kinetic    GPU Kinetic
 187      9391.3052333269      9391.3052333269
 188      9389.7655392734      9389.7655392734
 189      9388.2283857558      9388.2283857558
 190      9386.6937539130      9386.6937539130
 191      9385.1616251403      9385.1616251402
 192      9383.6319810849      9383.6319810849
 193      9382.1048036419      9382.1048036419
 194      9380.5800749499      9380.5800749498
 195      9379.0577773867      9379.0577773866
 196      9377.5378935657      9377.5378935656
 197      9376.0204063317      9376.0204063316
 198      9374.5052987571      9374.5052987570
 199      9372.9925541382      9372.9925541381

===== PERFORMANCE =====
CPU time: 0.0285468 s
GPU time: 0.356876 s
Speedup: 0.0799908

===== PERFORMANCE TABLE =====
 Nx      Ny      CPU(s)     GPU(s)     Speedup
   200    100     0.0250     0.0104       2.40
   800    400     0.5722     0.0190      30.19
  1600    800     2.7101     0.0558      48.58
  3200   1600    10.0520     0.1887      53.26
